,City,Movehub Rating,Purchase Power,Health Care,Pollution,Quality of Life,Crime Rating,Country,Cappuccino,Cinema,Wine,Gasoline,Avg Rent,Avg Disposable Income
129,Hyderabad,79.35,39.93,63.89,89.72,54.97,36.9,Pakistan,0.72,1.81,4.83,0.91,241.35,301.69
130,Baku,66.42,11.38,28.7,49.47,17.2,36.69,Azerbaijan,2.53,5.48,7.59,0.51,1278.72,340.99
131,Varna,71.11,20.34,50.23,80.84,36.03,36.46,Bulgaria,0.83,3.93,3.06,1.09,305.68,283.85
132,Bangkok,74.21,20.82,95.96,60.39,37.54,36.1,Thailand,1.37,4.1,13.68,0.91,1139.76,455.91
133,Cork,83.55,47.98,64.32,18.48,76.37,35.83,Ireland,2.13,7.08,8.52,1.36,1022.98,1633.36
134,Hamilton,81.34,56.52,86.67,81.68,84.83,35.68,New Zealand,1.91,7.01,8.29,0.8,605.64,1593.78
135,Hamilton,81.34,56.52,86.67,81.68,84.83,35.68,Canada,1.91,7.01,8.29,0.8,605.64,1593.78
136,Lausanne,87.21,90.77,65.85,87.62,73.21,35.55,Switzerland,3.15,12.59,8.4,1.32,1714.0,4266.11
137,Oslo,82.09,52.51,88.19,29.39,71.27,35.53,Norway,3.36,11.2,12.32,1.57,2016.66,2800.92
138,Mumbai,77.13,28.83,58.41,70.49,26.43,34.63,India,0.84,3.02,6.03,0.89,603.39,337.9
139,Prague,76.64,35.32,64.15,41.53,58.85,34.54,Czech Republic,1.32,5.08,3.29,1.18,821.94,723.3
140,Bratislava,74.76,29.29,59.72,30.55,56.18,34.38,Slovakia,1.45,5.11,4.26,1.28,852.48,681.99
141,Budapest,74.13,24.59,60.42,68.38,46.58,34.18,Hungary,1.0,4.27,2.85,1.2,341.97,414.64
142,Belfast,82.15,52.8,33.33,29.24,80.55,34.06,United Kingdom,2.19,5.98,6.22,1.39,807.12,1494.67
143,Malmo,81.37,52.56,87.96,83.45,60.32,33.97,,2.9,10.01,8.51,1.4,1101.38,1802.26
144,Bucharest,72.28,22.85,52.05,74.57,29.45,33.41,Romania,1.37,4.89,2.94,1.17,508.98,383.17
145,Chennai,78.12,32.91,67.49,78.07,43.89,33.22,India,0.66,1.81,4.83,0.87,301.69,301.69
146,Brighton,80.61,50.56,58.33,50.25,62.62,33.12,United Kingdom,2.49,14.95,4.97,1.37,1295.38,1594.31
147,Ljubljana,75.35,32.28,71.76,85.59,61.87,32.94,Slovenia,1.28,4.69,4.26,1.27,767.23,809.86
148,Darwin,79.63,49.51,75.28,6.78,78.52,32.8,Australia,3.36,10.08,10.08,1.04,2015.94,2435.93
149,Sydney,94.53,54.82,71.27,18.48,74.32,32.8,Australia,2.35,12.1,10.75,1.0,2788.71,2755.12
150,Copenhagen,82.85,49.33,85.14,30.54,75.23,32.39,Denmark,3.66,9.15,5.72,1.4,1658.01,2001.04
151,Riyadh,83.22,63.22,54.59,11.48,67.72,32.39,Saudi Arabia,1.69,79.49,17.43,0.08,610.14,1394.6
152,Zagreb,73.84,26.71,52.78,83.45,47.59,32.29,Croatia,1.12,3.7,4.48,1.23,504.36,605.23
153,San Francisco,85.38,63.54,75.46,17.06,79.08,32.25,,2.29,7.85,9.48,0.69,2484.32,2667.38
154,Vadodara,76.54,36.37,77.87,92.42,54.98,32.03,India,0.72,2.17,6.03,0.84,120.68,307.73
155,Warsaw,76.76,35.77,63.33,86.16,51.82,32.03,Poland,1.66,5.19,5.19,1.18,726.59,664.31
156,Montreal,89.28,66.99,66.77,6.27,78.55,31.63,Canada,1.91,7.65,9.56,0.89,956.27,1785.03
157,Edmonton,85.94,67.19,78.83,22.79,89.58,31.14,Canada,2.55,8.29,11.16,0.69,1147.52,2199.42
158,Edinburgh,83.92,58.77,60.64,13.94,75.03,30.51,United Kingdom,2.09,7.97,6.73,1.35,996.45,1992.89
159,Charlotte,84.46,77.18,72.08,67.05,84.39,30.21,United States,2.15,5.23,7.19,0.6,915.28,2073.1
160,Asheville,83.17,70.51,79.02,30.55,81.34,30.21,,1.8,5.88,7.85,0.64,1225.82,1898.54
161,Rochester,82.07,60.78,68.6,31.6,78.05,30.21,,1.96,6.54,11.44,0.68,719.15,1536.36
162,Indianapolis,84.52,80.72,36.66,82.08,77.13,30.21,United States,2.6,5.56,5.88,0.65,817.21,2056.76
163,Newark,84.97,84.39,79.72,62.14,73.21,30.21,United States,2.45,7.19,10.46,0.67,980.65,2402.6
164,Vancouver,82.59,48.06,83.73,18.48,71.89,30.03,United States,2.55,7.97,12.75,0.89,1848.79,1657.53
165,Vancouver,82.59,48.06,83.73,18.48,71.89,30.03,Canada,2.55,7.97,12.75,0.89,1848.79,1657.53
166,The Hague,83.23,68.28,66.74,37.21,79.99,29.76,Netherlands,2.26,8.1,4.05,1.52,1363.97,2386.95
167,Amsterdam,84.0,47.18,68.06,53.42,72.85,29.76,Netherlands,2.09,8.52,4.26,1.45,1513.16,1747.59
168,Utrecht,79.7,49.87,70.9,18.27,72.61,29.76,Netherlands,2.13,6.82,4.26,1.45,1193.48,1611.19
169,Calgary,85.77,63.9,75.33,23.53,87.57,29.53,Canada,2.55,8.29,9.56,0.74,1115.65,2231.29
170,Leeds,82.57,63.88,81.48,18.48,78.06,28.91,United Kingdom,1.99,7.6,6.33,1.38,797.16,1992.89
171,Liverpool,81.23,53.78,82.86,55.35,83.14,28.7,United Kingdom,1.99,7.67,5.98,1.35,896.8,1534.47
172,Basel,84.2,78.17,79.74,59.18,88.27,28.12,Switzerland,3.5,11.89,7.35,1.25,1649.29,3847.76
173,Vilnius,72.45,24.17,77.31,82.08,64.19,27.93,Lithuania,1.23,4.44,4.44,1.19,493.78,457.29
174,Frankfurt,82.75,62.6,65.33,14.54,88.04,27.55,,2.13,7.67,4.07,1.36,1022.98,1875.46
175,Vienna,81.84,51.21,79.86,22.39,77.21,27.45,Austria,2.13,7.67,4.26,1.25,1248.9,1619.72
176,Toronto,88.42,61.44,66.11,8.95,77.02,27.4,Canada,2.23,8.29,9.5,0.83,1593.78,1912.54
177,Wellington,81.06,49.11,73.72,30.55,79.83,27.38,New Zealand,2.2,8.82,8.27,1.17,1515.65,1763.67
178,Doha,90.73,81.96,68.06,83.45,80.28,27.17,Qatar,2.78,6.28,14.32,0.18,2221.74,2775.58
179,Cologne,82.18,59.18,67.88,68.41,82.82,27.08,Germany,1.92,7.25,3.62,1.32,980.35,1704.96
180,Minsk,68.41,16.14,50.0,66.89,51.66,26.82,Belarus,1.31,2.12,4.25,0.56,491.12,294.2
181,Valencia,81.06,49.11,72.07,35.24,64.89,26.04,Spain,1.28,6.82,4.26,1.24,596.74,1193.48
182,Valencia,81.06,49.11,72.07,35.24,64.89,26.04,Philippines,1.28,6.82,4.26,1.24,596.74,1193.48
183,Valencia,81.06,49.11,72.07,35.24,64.89,26.04,Venezuela,1.28,6.82,4.26,1.24,596.74,1193.48
184,Addis Ababa,59.88,6.38,63.89,85.59,28.41,26.04,Ethiopia,0.46,2.29,4.18,0.72,653.77,124.22
185,Izmir,76.07,32.12,57.33,30.55,42.9,25.91,,1.81,4.71,7.25,1.69,543.63,590.57
186,Stockholm,82.85,51.03,82.5,13.93,78.58,25.62,Sweden,3.0,11.01,7.91,1.46,1501.88,2002.51
187,Gothenburg,74.63,26.95,68.24,92.42,71.51,25.62,Sweden,3.3,10.76,8.01,1.44,1001.25,2302.88
188,Hamburg,84.66,61.13,82.41,67.78,87.18,25.52,Germany,1.83,9.38,3.41,1.36,1534.47,1747.59
189,Nashville,80.61,80.3,60.3,0.0,80.5,25.5,United States,3.84,12.0,13.5,0.65,2257.14,3089.75
190,Aberdeen,81.89,49.7,82.86,34.31,76.77,24.22,United Kingdom,1.99,6.98,5.98,1.37,1195.74,1743.78
191,Leicester,83.36,71.88,60.64,18.04,76.19,24.22,United Kingdom,2.49,7.22,5.27,1.43,787.19,1793.6
192,Oxford,80.94,50.33,66.2,11.48,72.09,24.22,United Kingdom,2.49,7.97,7.97,1.36,1494.67,1693.96
193,Cambridge,82.15,54.76,81.48,57.18,70.61,24.22,United States,1.99,8.22,7.97,1.39,1345.2,2730.26
194,Cambridge,82.15,54.76,81.48,57.18,70.61,24.22,Canada,1.99,8.22,7.97,1.39,1345.2,2730.26
195,Cambridge,82.15,54.76,81.48,57.18,70.61,24.22,United Kingdom,1.99,8.22,7.97,1.39,1345.2,2730.26
196,Manchester,81.89,62.31,61.42,0.0,73.0,24.2,United Kingdom,2.4,8.0,6.0,1.15,1200.0,1388.55
197,Berlin,89.54,68.72,65.48,16.05,91.17,24.18,Germany,1.88,6.82,3.84,1.36,916.42,1772.57
198,Stuttgart,82.48,65.82,80.38,16.89,90.4,23.96,Germany,2.13,6.82,4.26,1.32,980.35,1943.66
199,Limassol,78.3,40.13,77.6,26.74,74.83,23.75,Cyprus,2.98,6.82,4.26,1.15,618.05,937.73
200,Ottawa,87.69,91.85,66.02,33.55,86.11,22.25,Canada,2.39,7.65,9.56,0.8,1020.02,2900.68
201,Sliema,81.05,52.84,72.22,67.78,65.03,22.19,,1.7,7.25,2.98,1.2,596.74,1363.97
202,Venice,78.82,45.69,72.67,11.48,70.34,21.48,Italy,1.28,6.82,3.41,1.4,1278.72,1875.46
203,Seoul,82.43,54.3,75.0,85.59,60.28,21.35,South Korea,2.59,5.25,11.67,1.17,1458.2,1458.2
204,Stavanger,79.41,46.59,62.48,29.13,76.5,20.83,Norway,4.48,10.65,13.44,1.68,2240.74,2957.77
205,Singapore,81.07,33.14,58.82,18.48,42.65,19.96,Singapore,2.64,5.27,15.82,1.11,3164.42,1582.21
206,Trondheim,80.36,51.22,81.67,14.53,82.67,19.8,Norway,3.81,12.32,13.44,1.57,1680.55,2800.92
207,Manama,77.56,40.26,72.22,17.06,63.85,19.79,Bahrain,2.6,5.2,19.61,0.17,1078.72,1176.78
208,Dubai,98.44,69.64,67.78,30.81,85.16,19.36,United Arab Emirates,2.62,6.23,12.77,0.31,1981.57,2313.91
209,Luxembourg,85.85,76.44,59.72,57.17,81.41,18.75,Luxembourg,2.13,7.25,4.26,1.15,1704.96,2983.69
210,Ahmedabad,76.16,33.69,61.67,68.21,57.01,18.18,India,0.72,2.11,4.22,0.85,193.08,301.69
211,Braga,75.07,30.21,69.71,14.54,69.91,18.12,Portugal,1.02,4.48,2.13,1.39,383.62,596.74
212,Davao,69.29,17.63,69.0,77.98,30.66,17.71,,0.79,1.9,3.17,0.84,554.18,158.34
213,Indore,76.38,35.79,31.34,59.42,48.53,16.93,India,0.91,2.23,6.03,0.84,205.15,120.68
214,Kochi,74.27,28.98,70.23,71.78,45.13,16.93,India,0.6,1.81,3.62,0.84,181.02,271.52
215,Bergen,80.74,51.24,84.95,18.4,83.76,16.67,Norway,3.92,12.32,12.32,1.57,1725.37,3002.59
216,Shanghai,75.69,26.74,78.7,61.74,31.66,16.51,China,2.96,8.46,8.46,0.85,1533.38,592.2
217,Hong Kong,86.37,50.07,67.59,14.88,59.5,16.31,Hong Kong,2.78,5.89,10.1,1.52,5052.31,2210.39
218,Taipei,77.42,38.19,88.89,87.62,52.35,15.71,Taiwan,1.75,6.01,8.14,0.77,784.52,942.66
219,Zurich,85.89,79.58,78.33,18.04,97.91,15.35,,3.28,12.59,8.4,1.31,2378.61,4197.55
220,Aachen,81.64,60.55,73.25,11.69,90.52,15.34,Germany,2.05,6.88,4.26,1.33,767.23,1619.72
221,Dresden,84.75,82.6,78.29,16.89,90.21,15.34,Germany,2.13,6.82,3.84,1.33,1193.48,2088.58
222,Munich,86.0,63.28,88.43,43.08,90.08,15.34,Germany,2.3,7.67,5.11,1.36,1278.72,2045.96
223,Dusseldorf,83.45,72.52,75.98,8.61,88.02,15.34,,2.13,8.31,4.47,1.28,1193.48,2301.7
224,Tokyo,80.0,47.57,71.53,30.54,69.29,13.91,Japan,2.3,11.8,8.52,0.98,1967.31,2065.67
